company,introduction,end_market,industry,link,link_corrected
Soapbox.ai,AI software,customer service provider,IT - Software,,https://www.fifthquadrant.com.au/cx-spotlight-news/soapbox.ai-launches-new-smart-service-management-platform
FilePro,Legal practice management software to law firms,Legal,IT - Software,https://www.filepro.com.au/about-us/,https://www.filepro.com.au/about-us/
Project Tropic,Manufacturer and distributor of chilled prepared salads and meals,Food,Services - accommodation and food,,https://www.findaphd.com/phds/phd-research-projects/new-zealand/?g2gb700
Skin Care business 1,Organic skincare products,Skincare,Retail trade,,https://www.finder.com.au/australian-beauty-brands-everyone-should-know
Finlease,General equipment financing business (with dental / healthcare operation),Equipment finance,Finance and insurance,http://www.finlease.com.au/ourstory.html,https://www.finlease.com.au/about-us/
Finsure,"Home loans, commercial loans, insurance, asset finance",Specialty finance,Finance and insurance,https://www.finsure.com.au/,https://www.finsure.com.au/
Fire Safety Australia (FSA),Emergency services and training RTO (includes bolt-on),RTO,Education,https://www.fireandsafetyaustralia.com.au/,https://www.fireandsafetyaustralia.com.au/
Fire Safety Australia (FSA),Emergency services and training RTO (includes bolt-on),RTO,Education,https://www.fireandsafetyaustralia.com.au/,https://www.fireandsafetyaustralia.com.au/
Firemate,Fire safety software,Fire safety,IT - Software,,https://www.firemate.com.au/
First Class Capital Holdings,Working capital solutions,SME,Finance and insurance,www.firstclasscapital.com.au,https://www.firstclasscapital.com.au/
Fisher Biotec,Scientific equipment and consumables to laboratory space,Distribution,Wholesale trade,https://www.fisherbiotec.com.au/,https://www.fisherbiotec.com.au/
Five Point Four,Home delivered meal plans,Millennials,Services - accommodation and food,www.fivepointfour.com.au,https://www.fivepointfour.com.au/
Five Tuition,School student tutoring,Tutoring,Education,https://www.fivetuition.com.au/how-five-works/,https://www.fivetuition.com.au/how-five-works
FlashFX,online foreign currency transfer platform,Payments,Finance and insurance,https://www.flash-fx.com/about-us,https://www.flash-fx.com/about-us/
Flavour Creations,Functional and medical foods,Pharma,Manufacturing,https://www.flavourcreations.com.au,https://www.flavourcreations.com.au/
Flawless Photonics,Aerospace products manufacturer,Aerospace,Manufacturing,https://www.flawlessphotonics.com/about-us,https://www.flawlessphotonics.com/about-us
Fluidquip Australia,Water treatment technologies distribution,Water management,Retail trade,https://www.fluidquip.com.au/about-us/,https://www.fluidquip.com.au/about-us/
Chemical Analysis,"specialty pharma, medical and environmental testing services industry",Testing services,"Services - professional, scientific, and technical",https://www.chemicalanalysis.com/location-melbourne.php,https://www.flyingsolo.com.au/forums/index.php?threads/supplement-testing-lab.33513/
FLYONIT,Provider of IT solutions to different industries,IT infrastructure,IT - Software,https://www.flyonit.com.au/lims-system/,https://www.flyonit.com.au/lims-system/
FM Innovations,Facilities management software,Facilities maintenance,IT - Software,http://www.fminnovations.com.au/about.html,https://www.fminnovations.com.au/about.html
FMTech,Facilities and asset management solutions provider,Facilities management,IT - Software,https://www.fmtech.com.au/about-us/,https://www.fmtech.com.au/about-us/
Fonebox,Telco services and analytics (plus call centre),Telco,IT - Hardware,tbc,https://www.fonebox.com.au/
Diary Inc.,Software that enable better communication between consumers and businesses,Retail businesses,IT - Software,,https://www.fonterra.com/au/en.html
Kitchen Foods,Food manufacturing business,Ready made meals,Manufacturing,,https://www.foodstandards.gov.au/foodsafety/standards/Pages/Home-based-food-businesses.aspx
For Earth,Products and services for waste water treatment in residential and industrial areas,Water management,"Services - professional, scientific, and technical",http://www.forearth.com.au/index.php,https://www.forearth.com.au/
Forticode Limited,Identity security SaaS,Cyber security,IT - Software,https://www.forticode.com/,https://www.forticode.com/
Forum Group,"Managed print, IT and communication solutions, fleet management and environmental solutions",SME,IT - Software,http://www.forumgroup.com.au/,https://www.forumgroup.com.au/
Fremantle Hydraulics,Hydralics manufacturer and services provider,Hydraulics,Manufacturing,https://www.fremantlehydraulics.com.au/about-us/,https://www.fremantlehydraulics.com.au/about-us/
Front Foot Media Solutions,mobile delivery system software solutions,SME,IT - Software,http://www.frontfoot.com.au/,https://www.frontfoot.co.za/
FrontStream Payments Inc,Platform for managing charitable donations,Donations,IT - Software,https://www.frontstream.com/,https://www.frontstream.com/
Frost Air Conditioning,HVAC products and services provider,HVAC,"Services - professional, scientific, and technical",https://www.frostair.com.au/,https://www.frostair.com.au/
Fuelfix & Tanks2Go,Provider of fuel management solutions,Fuel management,"Services - professional, scientific, and technical",https://www.fuelfix.com.au/about/,https://www.fuelfix.com.au/about-us/
Funlab,Entertainment company,"Bowling, etc","Arts, entertainment and recreation",,https://www.fun-lab.com/
Furnware,We work in close partnership to deeply understand your environment and design relevant solutions to meet your performance goals.,Education,Manufacturing,https://www.furnware.com/,https://www.furnware.com/
Gallay Medical & Scientific,Laboratory and medical equipment distribution,"Laboratory, medical",Wholesale trade,https://www.gallay.com.au,https://www.gallay.com.au/
Gaskets business,Automotive gasket manufacturing & distribution,Automotive,Manufacturing,,https://www.garlock.com/en/garlock-pty-sealing-solutions-australia
AF Gason,manufacturer and distributor of farm equipment and machinery,Equipment,Agriculture,http://www.gason.com.au,https://www.gason.com.au/
GA Systems,Cyber security software as a managed service,Corporate,IT - Software,http://www.gasystems.com.au/,https://www.gasystems.com.au/
GB Electrical,Electrical contracting services,Electrical,"Services - professional, scientific, and technical",https://www.gbelectrical.com.au/,https://www.gbelectrical.com.au/
GBW,Customer experience SW,Vertical SaaS,IT - Software,http://www.gbw.solutions/corphome,https://www.gbw.solutions/
Group Colleges Australia,"TEQSA + RTO (Bachelor, Masters and vocational business training, English language)","Bachelor, Masters and vocational business training, English language",Education,http://www.gca.edu.au/,https://www.gca.edu.au/
Gecko Sports,Extracurricular sports and activities provider,Childcare services,Education,http://geckosports.com.au/,https://www.geckosports.com.au/
Gekko Systems,Manufacture specialised gold / mineral processing gear,Mining equipment,Manufacturing,http://www.gekkos.com/,https://www.gekkos.com/
Gem Energy,Energy management products and services,Energy efficiency,"Services - professional, scientific, and technical",https://www.gemenergy.com.au/energy-management/,https://www.gemenergy.com.au/energy-management/
Biomatters,"Bioinformatics solutions for the analysis, interpretation, and application of molecular sequence data",Molecular biology research and education,IT - Software,http://www.biomatters.com/#/,https://www.geneious.com/about/
Generation-e,"IT services (networking, video conferencing etc)",IT,"Services - professional, scientific, and technical",https://www.generation-e.com.au/,https://www.generation-e.com.au/
Genie Solutions,Medical and administrative software solutions,Specialist practices,IT - Software,www.geniesolutions.com.au,https://www.geniesolutions.com.au/
Genkan,accommodation property management software,Hospitality,IT - Software,https://www.genkan.com.au/wp/,https://www.genkan.com.au/wp/
George Health Enterprises,Contract research organisation,CRO,Healthcare,,https://www.georgeinstitute.org/george-health-enterprises
Gerrard Hydraulics,Hydralics manufacturer and services provider,Hydraulics,Wholesale trade,https://www.gerrardhydraulics.com.au/profile/,https://www.gerrardhydraulics.com.au/profile/
UniPhi,"Web and mobile solutions for project, portfolio and program management",Corporate risk,IT - Software,,https://www.getapp.com.au/software/108685/uniphi
Get Capital,Small business lending platform,SME lending,Finance and insurance,,https://www.getcapital.co.nz/about-us/
Palace Property Software,Property management software industry provider,Property management,IT - Software,https://www.getpalace.com/au/about-us/,https://www.getpalace.com/nz/about-us/
GFE Group,Energy management services,Energy efficiency,"Services - professional, scientific, and technical",http://www.gfegroup.com.au/about-us/,https://www.gfegroup.com.au/about-us/
Givergy,Fundraising technology service,Charitable donations platform,IT - Hardware,,https://www.givergy.com/au/fundraise/
Global-Mark,Certification and compliance services,"Services - professional, scientific, and technical","Services - professional, scientific, and technical",http://www.global-mark.com.au/#services1,https://www.global-mark.com.au/
Global Testing Services,Electrical testing and commissioning services to plant industry,Testing and commissioning,"Services - professional, scientific, and technical",http://www.globaltest.com.au/About,https://www.globaltest.com.au/About
Goanna Telemetry Systems,provider of remote sensing equipment for agriculture,Agriculture,Agriculture,http://www.goannatelemetry.com.au,https://www.goannaag.com.au/
Godfrey's Group,Domestic and commercial cleaning equipment and consumables,Cleaning,Retail trade,,https://www.godfreys.com.au/about-us
Jaro Sports,"Sports management platform for schools, clubs and associations",Sports,IT - Software,https://www.gojaro.com/,https://www.gojaro.com/
GoldAcres Trading,manufacturer and distributor of agricultural spraying equipment,Agriculture,Manufacturing,http://www.goldacres.com.au,https://www.goldacres.com.au/
Go Natural,Healthy snack brand,Food,Wholesale trade,https://www.gonatural.com.au/,https://www.gonatural.com.au/
